name,school,hashtags
Amir Jacobson,mollis.dui.in@emailarizona.edu,#America
Bradley Haney,ultricies.ornare@emailarizona.edu,#America
Diana Burris,nunc.est.mollis@nau.edu,#PETA
Patricia Calhoun,quam.pellentesque@nau.edu,#America
Bryar Rodriquez,tellus@nau.edu,#VeteransDay
Sylvia Le,a.magna@emailarizona.edu,#BLM
Eve Guerrero,in.consectetuer@emailarizona.edu,#America
Nayda Neal,mauris.sit.amet@emailarizona.edu,#PETA
Leo Preston,feugiat.nec.diam@emailarizona.edu,#SaveTheTrees
Lane Ramirez,non@emailarizona.edu,#SaveTheTrees
Basil Jones,metus.in@emailarizona.edu,#VeteransDay
Gloria Austin,morbi.vehicula@emailarizona.edu,#VeteransDay
Alfonso Martinez,faucibus.ut@emailarizona.edu,#VeteransDay
Suki Kent,tempus.risus@emailarizona.edu,#PETA
Maryam Rivas,faucibus@emailarizona.edu,#America
Justina Hartman,pede.ac@emailarizona.edu,#VeteransDay
Tasha Mcfadden,duis.risus@nau.edu,#PETA
Hyatt Bean,dictum.eu@emailarizona.edu,#VeteransDay
Olga Sheppard,massa@emailarizona.edu,#PETA
Elliott Crawford,felis.purus@nau.edu,#BLM
Ryder Mercer,integer@nau.edu,#America
Athena Hamilton,enim.etiam@emailarizona.edu,#America
Jena Booker,et.pede.nunc@nau.edu,#America
William Weaver,nec.orci.donec@emailarizona.edu,#BLM
Justin Holloway,eu.tempor.erat@nau.edu,#BLM
Ina Moran,in.consequat@emailarizona.edu,#VeteransDay
Rowan Bird,arcu@nau.edu,#VeteransDay
Abraham Lyons,pharetra.quisque@emailarizona.edu,#PETA
Daria Payne,mauris.integer@emailarizona.edu,#SaveTheTrees
Hu Macdonald,magna.nec@nau.edu,#America
Walter Fleming,integer.in@nau.edu,#VeteransDay
Reece English,augue@emailarizona.edu,#BLM
Mufutau Macdonald,ac.orci.ut@emailarizona.edu,#SaveTheTrees
Carla Henry,erat@nau.edu,#BLM
Herman Higgins,ligula@emailarizona.edu,#PETA
Indigo Dennis,fermentum.arcu@emailarizona.edu,#BLM
Kasimir Duffy,non.nisi@nau.edu,#VeteransDay
Colin Calderon,gravida.nunc@nau.edu,#America
Amal Merritt,consequat.nec.mollis@emailarizona.edu,#SaveTheTrees
Savannah Lopez,ornare.facilisis.eget@nau.edu,#BLM
Merrill Sheppard,vel.pede@nau.edu,#VeteransDay
Gisela England,fusce.feugiat@nau.edu,#VeteransDay
Giselle Carson,lorem.lorem@nau.edu,#America
Dai Reeves,pharetra.quisque@nau.edu,#SaveTheTrees
Adria Knight,morbi.vehicula.pellentesque@emailarizona.edu,#VeteransDay
Ivan Valdez,elit.aliquam@emailarizona.edu,#SaveTheTrees
Lunea Burks,gravida@nau.edu,#SaveTheTrees
Kirsten Lloyd,risus.at.fringilla@emailarizona.edu,#BLM
Claire Lamb,sapien.nunc@emailarizona.edu,#America
Jana Rollins,vivamus.nibh@emailarizona.edu,#PETA
Jonas Clay,aliquam@emailarizona.edu,#PETA
